model,center_prime,Qnet,regime,Pi_obs,Pi_ker,family_tension,BridgeP_M,d_e,abc_eps_eff
Qnet_norm_bridge_k1.00,7286685,0.28852469303389267,protonic,0.9999996340356038,0.9999998170177852,365.8270592720815,-6.57507584059962,4.0,-0.0536537210569217
Qnet_norm_bridge_k1.00,8385105,0.28320857659086224,protonic,0.9999996819756942,0.9999998409878345,430.5745900278755,-6.453624998892692,4.0,-0.0532063109632393
Qnet_norm_bridge_k1.00,7335945,0.28137859161908113,protonic,0.9999996364930118,0.9999998182464894,348.47842403288143,-6.411818267709897,4.0,-0.0536320801562828
Qnet_norm_bridge_k1.00,8339625,0.2809452242894843,protonic,0.999999680241354,0.999999840120664,413.6928901927712,-6.401917196727186,4.0,-0.0532235022859042
Qnet_norm_bridge_k1.00,8460585,0.2805075034075825,protonic,0.9999996848129068,0.999999842406441,404.69202172608783,-6.391917113392602,4.0,-0.0531780086785362
Qnet_norm_bridge_k1.00,8604645,0.2791674436765614,protonic,0.999999690089808,0.999999845044892,399.509049403205,-6.361302477572996,4.0,-0.0531247670938014
Qnet_norm_bridge_k1.00,7081185,0.2788639640494578,protonic,0.9999996234151072,0.9999998117075358,293.4816596624672,-6.354370040797351,4.0,-0.0537458028437343
Qnet_norm_bridge_k1.00,8540505,0.2785584316174638,protonic,0.9999996877623528,0.9999998438811644,390.4428162560162,-6.3473892096560105,4.0,-0.0531483477986788
Qnet_norm_bridge_k1.00,7483785,0.2784048236192354,protonic,0.9999996436739884,0.9999998218369784,391.02686578611934,-6.343880434126331,4.0,-0.0535680952999395
Qnet_norm_bridge_k1.00,6753825,0.27840480436320264,protonic,0.9999996051619156,0.9999998025809383,313.6064418351227,-6.343880434126331,4.0,-0.0538988522183517
Qnet_norm_bridge_k1.00,6727545,0.27840480359201897,protonic,0.999999603619548,0.9999998018097545,304.4866853415377,-6.343880434126331,4.0,-0.0539114976331335
Qnet_norm_bridge_k1.00,8557725,0.2780960478573771,protonic,0.9999996883906428,0.9999998441953092,388.0235822824337,-6.336825731146441,4.0,-0.0531419975597557
Qnet_norm_bridge_k1.00,6937965,0.27809601148270474,protonic,0.9999996156412856,0.9999998078206244,310.7957372225157,-6.336825731146441,4.0,-0.053811765657971
Qnet_norm_bridge_k1.00,6760005,0.27809600642350135,protonic,0.9999996055228768,0.999999802761419,314.24816713572204,-6.336825731146441,4.0,-0.0538958865302557
Qnet_norm_bridge_k1.00,8594685,0.27794082867680464,protonic,0.9999996897306668,0.9999998448653212,391.1385491097463,-6.333279628139691,4.0,-0.0531284159105002
Qnet_norm_bridge_k1.00,8568405,0.2779408282009939,protonic,0.9999996887790452,0.9999998443895104,386.6701826439228,-6.333279628139691,4.0,-0.0531380662616526
Qnet_norm_bridge_k1.00,8561805,0.27778505584548085,protonic,0.9999996885391356,0.9999998442695556,385.8214888385152,-6.329720905522696,4.0,-0.0531404950680332
Qnet_norm_bridge_k1.00,8326605,0.2776287228804418,protonic,0.9999996797413592,0.9999998398706668,381.86489926111824,-6.326149473155099,4.0,-0.0532284431305378
Qnet_norm_bridge_k1.00,8573445,0.2774718386059709,protonic,0.999999688962,0.999999844480988,382.8260463816126,-6.322565239927284,4.0,-0.0531362129456054
Qnet_norm_bridge_k1.00,8691585,0.277314387485345,protonic,0.9999996931897718,0.999999846594874,379.8332995677956,-6.318968113746434,4.0,-0.0530931160979387
Qnet_norm_bridge_k1.00,7367025,0.2773143599037512,protonic,0.9999996380265752,0.9999998190132712,344.91673983023225,-6.318968113746434,4.0,-0.0536185096437975
Qnet_norm_bridge_k1.00,7499205,0.2771563414348257,protonic,0.9999996444066724,0.9999998222033204,380.9583250628553,-6.315358001522335,4.0,-0.0535615031772483
Qnet_norm_bridge_k1.00,8658105,0.27699777103070305,protonic,0.999999692003368,0.999999846001672,378.5832998122767,-6.311734809152915,4.0,-0.0531052625748207
Qnet_norm_bridge_k1.00,8431065,0.27699776688368455,protonic,0.9999996837093303,0.9999998418546528,375.228177175882,-6.311734809152915,4.0,-0.0531890438543822
Qnet_norm_bridge_k1.00,6692265,0.2769977257939898,protonic,0.999999601529926,0.9999998007649432,348.7586662661111,-6.311734809152915,4.0,-0.0539285609604242
