quadruplet,log_p,mean_prime_index,index_span,log_interval_radical,v5_depth,direction_defect,relative_stretch
"(5, 7, 11, 13)",1.6094379124341003,4.5,3.0,10.309952160977376,1.0,0.0,0.9511279991186681
"(11, 13, 17, 19)",2.3978952727983707,6.5,3.0,16.087604484200032,0.0,0.0,0.545701750662512
"(101, 103, 107, 109)",4.61512051684126,27.5,3.0,33.32958836754929,0.0,0.0,0.07622505887218563
"(191, 193, 197, 199)",5.25227342804663,44.5,3.0,35.97613530989476,0.0,0.0,0.04103103690702977
"(821, 823, 827, 829)",6.710523109452428,143.5,3.0,51.37424853769696,0.0,0.0,0.009697040933716788
"(1481, 1483, 1487, 1489)",7.300472814267799,235.5,3.0,56.482037438448735,0.0,0.0,0.0053872176018957395
"(1871, 1873, 1877, 1879)",7.534228326274089,287.5,3.0,54.8510860450667,0.0,0.0,0.004266672734830867
"(2081, 2083, 2087, 2089)",7.640603826393634,314.5,3.0,61.32799035776869,0.0,0.0,0.003836934868725065
"(3251, 3253, 3257, 3259)",8.086717920303906,459.5,3.0,65.33680521090082,0.0,0.0,0.0024577584563318417
"(3461, 3463, 3467, 3469)",8.149312843635345,485.5,3.0,63.06627541249079,0.0,0.0,0.002308803270305236
"(5651, 5653, 5657, 5659)",8.639587799629844,744.5,3.0,70.3079376094729,0.0,0.0,0.001414677497934613
"(9431, 9433, 9437, 9439)",9.151757414543885,1168.5,3.0,72.51701756105561,0.0,0.0,0.0008479067778845985
"(13001, 13003, 13007, 13009)",9.472781556562168,1549.5,3.0,74.27672194958627,0.0,0.0,0.0006151480381779656
"(15641, 15643, 15647, 15649)",9.657650950674242,1824.5,3.0,78.08014547187692,0.0,0.0,0.0005113454882340287
"(15731, 15733, 15737, 15739)",9.663388566822505,1834.5,3.0,79.51806521495462,0.0,0.0,0.0005084207284116474
"(16061, 16063, 16067, 16069)",9.684149252062896,1868.5,3.0,76.52681054799656,0.0,0.0,0.0004979769782127711
"(18041, 18043, 18047, 18049)",9.800402224452803,2067.5,3.0,77.97830648995685,0.0,0.0,0.0004433361109915111
"(18911, 18913, 18917, 18919)",9.847499042327273,2152.5,3.0,77.8424702902139,0.0,0.0,0.0004229447587523879
"(19421, 19423, 19427, 19429)",9.874110233825451,2200.5,3.0,78.41839327469877,0.0,0.0,0.0004118404172977004
"(21011, 21013, 21017, 21019)",9.95280138908905,2363.5,3.0,82.12220570965881,0.0,0.0,0.00038068047064351715
"(22271, 22273, 22277, 22279)",10.01104066270085,2494.5,3.0,75.37386386865458,0.0,0.0,0.0003591470294328448
"(25301, 25303, 25307, 25309)",10.138599199626192,2790.5,3.0,83.79409555661971,0.0,0.0,0.00031614305720081094
"(31721, 31723, 31727, 31729)",10.364734201103053,3411.5,3.0,82.42782527241016,0.0,0.0,0.00025216706193042213
"(34841, 34843, 34847, 34849)",10.45855013319517,3719.5,3.0,82.88907479686316,0.0,0.0,0.0002295881771543753
"(43781, 43783, 43787, 43789)",10.68695521229612,4560.5,3.0,88.7286991825945,0.0,0.0,0.0001827109745544036
"(51341, 51343, 51347, 51349)",10.846244932225309,5252.5,3.0,89.46903841538807,0.0,0.0,0.00015580874506130544
"(55331, 55333, 55337, 55339)",10.921088609106748,5619.5,3.0,90.83572812912833,0.0,0.0,0.00014457395885178492
"(62981, 62983, 62987, 62989)",11.050588372585487,6318.5,3.0,92.00114697915144,0.0,0.0,0.00012701436866052087
"(67211, 67213, 67217, 67219)",11.115592203591607,6697.5,3.0,91.89299830643091,0.0,0.0,0.00011902105198026864
"(69491, 69493, 69497, 69499)",11.148952526764623,6900.5,3.0,89.59053395708965,0.0,0.0,0.0001151161955289206
"(72221, 72223, 72227, 72229)",11.18748614131548,7148.5,3.0,87.19289906161747,0.0,0.0,0.00011076497068422359
"(77261, 77263, 77267, 77269)",11.254944579444818,7591.5,3.0,93.14710002106098,0.0,0.0,0.00010353976582799847
