N;label;rest235;nu2;nu3;nu5;theta;phase;radius;q0;qi;qj;qk;dir_i;dir_j;dir_k;amp_abs;amp_re;amp_im;x;y;z
1;e;1;0;0;0;0.0;0.0;0.8317766166719344;1.0;0.0;0.0;0.6931471805599453;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.8317766166719344
2;e;1;1;0;0;1.5269372165902235;0.5235987755982988;1.3183347464017316;1.0;1.0;0.0;0.6931471805599453;0.8218691629851074;0.0;0.5696762931122893;1.5810373227118586;1.3692184857998053;0.7905186613559292;1.0834986745593749;0.0;0.7510240514112685
3;e;1;0;1;0;1.527471773675943;1.0471975511965976;1.6635532333438687;1.0;0.0;1.0;0.6931471805599453;0.0;0.8218691629851074;0.5696762931122893;1.5812908894542927;0.7906454447271466;1.369438081040308;0.0;1.3672231034694944;0.9476868393662984
4;e;1;2;0;0;1.527471773675943;1.0471975511965976;1.9313254949209202;1.0;2.0;0.0;0.6931471805599453;0.9448634118248277;0.0;0.3274647049603149;1.5812908894542927;0.7906454447271466;1.369438081040308;1.8248387964752546;0.0;0.6324409333766132
5;a;1;0;0;1;0.18009365484620776;2.0943951023931953;2.1501113630736657;1.0;0.0;0.0;1.6931471805599454;0.0;0.0;1.0;1.0555142579461163;-0.5277571289730579;0.9141021614380176;0.0;0.0;2.1501113630736657
6;e;1;1;1;0;1.027472402078087;1.5707963267948966;2.335092178866376;1.0;1.0;1.0;0.6931471805599453;0.6349426461457742;0.6349426461457742;0.4401087049932144;1.3610299381837994;8.33390478670255e-17;1.3610299381837994;1.4826496070437183;1.4826496070437183;1.027694394880664
7;b;7;0;0;0;-2.70152909668352;1.0471975511965976;2.495329850015803;1.0;0.0;0.0;2.0794415416798357;0.0;0.0;1.0;0.4446540437239283;0.2223270218619642;0.3850816977603984;0.0;0.0;2.495329850015803
8;e;1;3;0;0;1.6858075175661067;1.5707963267948966;2.6366694928034633;1.0;3.0;0.0;0.6931471805599453;0.9743314241342631;0.0;0.22511835985654025;1.6582158832605958;1.0153643868651948e-16;1.6582158832605958;2.5689899418945634;0.0;0.5935627117036915
9;e;1;0;2;0;1.6858075175661067;2.0943951023931953;2.763102111592855;1.0;0.0;2.0;0.6931471805599453;0.0;0.9448634118248277;0.3274647049603149;1.6582158832605958;-0.8291079416302976;1.4360570798625272;0.0;2.610754088380011;0.9048184177479772
10;a;1;1;0;1;0.5337104921397093;2.6179938779914944;2.8774743273580445;1.0;1.0;0.0;1.6931471805599454;0.5085423203783267;0.0;0.8610369959439764;1.1736436584917767;-1.0164052232443868;0.5868218292458882;1.4633174712637247;0.0;2.477611850734285
11;c;11;0;0;0;-2.9227155566077334;1.5707963267948966;2.9818879797456;1.0;0.0;0.0;2.4849066497880004;0.0;0.0;1.0;0.416106239886931;2.5479158739138538e-17;0.416106239886931;0.0;0.0;2.9818879797456
12;e;1;2;1;0;1.0280069591638064;2.0943951023931953;3.077939228953844;1.0;2.0;1.0;0.6931471805599453;0.8543223464106056;0.4271611732053028;0.29608556285193405;1.3612482201451566;-0.680624110072578;1.1788755395020578;2.629552264189098;1.314776132094549;0.9113333690288469
13;e;13;0;0;0;-3.152173499011095;0.0;3.16686879553831;1.0;0.0;0.0;2.6390573296152584;0.0;0.0;1.0;0.388426215112117;0.388426215112117;0.0;0.0;0.0;3.16686879553831
14;b;7;1;0;0;-2.3167479432019578;1.5707963267948966;3.249660241322652;1.0;1.0;0.0;2.0794415416798357;0.43338894692269475;0.0;0.9012069799359288;0.49906227922089647;3.055875114115268e-17;0.49906227922089647;1.4083668298433742;0.0;2.928616491900249
15;a;1;0;1;1;0.9907765194827147;3.141592653589793;3.3271064666877375;1.0;0.0;1.0;1.6931471805599454;0.0;0.5085423203783267;0.8610369959439764;1.3461288515086192;-1.3461288515086192;1.6485323892399332e-16;0.0;1.691974442715118;2.864761757262587
16;e;1;4;0;0;1.5269365882625732;2.0943951023931953;3.3998560128674593;1.0;4.0;0.0;0.6931471805599453;0.9853157357287752;0.0;0.17074220604543716;1.5810370246890466;-0.7905185123445231;1.3692182277044793;3.349931628690401;0.0;0.5804989158738342
17;a;17;0;0;0;-2.6451191050098997;0.5235987755982988;3.4684461094753973;1.0;0.0;0.0;2.8903717578961645;0.0;0.0;1.0;0.4522429554487676;0.39165388810118684;0.22612147772438376;0.0;0.0;3.4684461094753973
18;e;1;1;2;0;1.1858081459682521;2.6179938779914944;3.533326774999728;1.0;1.0;2.0;0.6931471805599453;0.4271611732053028;0.8543223464106056;0.29608556285193405;1.4272399064212777;-1.2360260162557515;0.7136199532106388;1.5093000105265928;3.0186000210531856;1.0461670469156035
19;b;19;0;0;0;-2.9752563376493817;1.0471975511965976;3.594878728264789;1.0;0.0;0.0;2.995732273553991;0.0;0.0;1.0;0.4095988957043339;0.204799447852167;0.3547230490420059;0.0;0.0;3.594878728264789
20;a;1;2;0;1;0.33422985047028364;3.141592653589793;3.6534269252681075;1.0;2.0;0.0;1.6931471805599454;0.7632282916276542;0.0;0.6461289150464732;1.105468199451727;-1.105468199451727;1.3538080920177455e-16;2.788398790758851;0.0;2.3605847754250546
