bits,n,sigma,ring,use_sigma,dir_kind,dir_count,lambdas,base_samples,T,S,score,use_score,B,neighbor_safety,shadow,success_prefilter,factor_prefilter,rank_hit,tested,t_prefilter,success_pipeline,factor_pipeline,t_total,fallback_used
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.013701915740966797,True,2286523223,0.05425000190734863,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.01846003532409668,True,2293194763,0.04557394981384277,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.022125720977783203,True,2293194763,0.06296491622924805,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.01734614372253418,True,2286523223,0.03354024887084961,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.03841376304626465,True,2293194763,0.054971933364868164,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.034371137619018555,True,2293194763,0.062296152114868164,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.03737282752990723,True,2286523223,0.06887102127075195,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.012279987335205078,True,2293194763,0.13649582862854004,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.1420609951019287,True,2293194763,0.16100406646728516,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,1000,True,False,False,,,1000,0.1457369327545166,True,2293194763,0.16495013236999512,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.14259099960327148,True,2286523223,0.19066333770751953,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.03317689895629883,True,2286523223,0.0425570011138916,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.01732802391052246,True,2286523223,0.04738783836364746,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,50,True,False,False,,,50,0.012165069580078125,True,2286523223,0.03412604331970215,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.0202329158782959,True,2286523223,0.03713393211364746,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.012449026107788086,True,2293194763,0.025935649871826172,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.03992772102355957,True,2293194763,0.05499076843261719,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,200,True,False,False,,,200,0.03330087661743164,True,2293194763,0.06091189384460449,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.03784990310668945,True,2293194763,0.04272913932800293,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.016071796417236328,True,2286523223,0.058570146560668945,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.15235304832458496,True,2286523223,0.16515398025512695,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,1000,True,False,False,,,1000,0.14863014221191406,True,2293194763,0.15045690536499023,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.14914584159851074,True,2286523223,0.17955994606018066,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.038549184799194336,True,2286523223,0.047905683517456055,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.013109922409057617,True,2393143409,0.05415606498718262,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.011974811553955078,True,2393143409,0.13741803169250488,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.013714075088500977,True,2264329411,0.039090871810913086,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.007418155670166016,True,2393143409,0.027132272720336914,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.051512718200683594,True,2264329411,0.08360791206359863,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.03316807746887207,True,2264329411,0.04140210151672363,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.03275918960571289,True,2393143409,0.047258853912353516,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.011410951614379883,True,2264329411,0.035491943359375,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.14270377159118652,True,2393143409,0.1619870662689209,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,1000,True,False,False,,,1000,0.14521193504333496,True,2393143409,0.1495811939239502,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.1583857536315918,True,2393143409,0.22751998901367188,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.03328585624694824,True,2393143409,0.08086204528808594,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.017343997955322266,True,2393143409,0.1445770263671875,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,50,True,False,False,,,50,0.011868000030517578,True,2393143409,0.03479290008544922,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.017452001571655273,True,2393143409,0.0344851016998291,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.01128697395324707,True,2393143409,0.07596111297607422,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.03778386116027832,True,2393143409,0.04296588897705078,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,200,True,False,False,,,200,0.032401084899902344,True,2264329411,0.05509328842163086,True
