i,kind,bits,n,truth,MR_ms,MR_is_prime,E8_ms,E8_status,E8_factor,RHO_ms,RHO_status,RHO_factors,ok
1,prime,128,288478935104403565551105603228255051769,288478935104403565551105603228255051769,0.154750,1,0.0,DISABLED,,0.0,SKIP,,1
2,prime,128,204570760575874288519468877646317125763,204570760575874288519468877646317125763,0.226583,1,0.0,DISABLED,,0.0,SKIP,,1
3,prime,128,189145314333408255363755851191023704163,189145314333408255363755851191023704163,0.191125,1,0.0,DISABLED,,0.0,SKIP,,1
4,prime,128,239179032185710314712002575189867174683,239179032185710314712002575189867174683,0.161083,1,0.0,DISABLED,,0.0,SKIP,,1
5,prime,128,225061511019071809059635267529908539717,225061511019071809059635267529908539717,0.155583,1,0.0,DISABLED,,0.0,SKIP,,1
6,prime,128,299940125036243616978694598955173289727,299940125036243616978694598955173289727,0.205916,1,0.0,DISABLED,,0.0,SKIP,,1
7,prime,128,199748057000878114392321690700632561833,199748057000878114392321690700632561833,0.265833,1,0.0,DISABLED,,0.0,SKIP,,1
8,prime,128,225329675596759486432566854585320283179,225329675596759486432566854585320283179,0.378542,1,0.0,DISABLED,,0.0,SKIP,,1
9,prime,128,325073493450558146147634670330260656323,325073493450558146147634670330260656323,0.191000,1,0.0,DISABLED,,0.0,SKIP,,1
10,prime,128,231610632675615831580360282686619351129,231610632675615831580360282686619351129,0.251375,1,0.0,DISABLED,,0.0,SKIP,,1
11,semi_bal,128,140937470861935509652934910909327566209,9628080924716953399*14638168495252733191,0.022708,0,5.505042,MISS,,3000.000916,TIMEOUT,,0
12,semi_bal,128,209703380565315536626693044489486053893,14466381407035675861*14495911220986265713,0.013792,0,5.671209,MISS,,3000.005583,TIMEOUT,,0
13,semi_bal,128,287159122662921974534748858369304722449,16931258434719281501*16960294107499578949,0.012291,0,5.133500,MISS,,3000.001083,TIMEOUT,,0
14,semi_bal,128,325910156961272920565660220861247075063,17713277949436141781*18399200751639956123,0.011583,0,5.117917,MISS,,3000.000875,TIMEOUT,,0
15,semi_bal,128,137992444126488865294239074119954605197,10078673675631013847*13691528128362517051,0.011792,0,5.407584,MISS,,3000.000959,TIMEOUT,,0
16,semi_bal,128,117092685602905121950789123625226601169,9354781957492232879*12516880258136400511,0.014750,0,5.815084,MISS,,3000.000958,TIMEOUT,,0
17,semi_bal,128,180696777763166172779574880625985585013,10635697688719099961*16989649673366018333,0.014458,0,5.936166,MISS,,3000.001000,TIMEOUT,,0
18,semi_bal,128,182192100002295506737816275130807595119,13146760092828797167*13858326973021769857,0.018041,0,5.929167,MISS,,3000.000958,TIMEOUT,,0
19,semi_bal,128,191272980617183572329101742145422635101,11959057637275596619*15993984343799653879,0.013166,0,5.289375,MISS,,3000.001000,TIMEOUT,,0
20,semi_bal,128,192807671558941022887382039983950571837,12159762727612345591*15856203437351129707,0.011334,0,5.271750,MISS,,3000.001000,TIMEOUT,,0
21,semi_unbal,128,220021256660234165433295286200856511703,895947432607*245573845800331331305712329,0.011500,0,5.196583,MISS,,174.876625,OK,895947432607*245573845800331331305712329,1
22,semi_unbal,128,209426157616923481887178342480821445081,719022765247*291264988730893700800485223,0.011042,0,5.236209,MISS,,160.356833,OK,719022765247*291264988730893700800485223,1
23,semi_unbal,128,182455779444659902558373452711413520123,598338830597*304937219706453586496501759,0.012333,0,5.480750,MISS,,40.241209,OK,598338830597*304937219706453586496501759,1
24,semi_unbal,128,168095010425579516446642394389784308201,910999914557*184517043020054032062699293,0.012542,0,5.516709,MISS,,159.875875,OK,910999914557*184517043020054032062699293,1
25,semi_unbal,128,140724105260981233226746395742159487681,658994806199*213543572630959495412450119,0.010917,0,5.172708,MISS,,320.412583,OK,658994806199*213543572630959495412450119,1
26,semi_unbal,128,269281886639129055754048858330599742913,1000812983227*269063142817014917096240819,0.014167,0,5.806958,MISS,,181.168000,OK,1000812983227*269063142817014917096240819,1
