K_zeros,X,subset,count,obs_mean_delta,null_mean,null_sd,pvalue_closer_than_null,zscore_vs_null
100,k*log(abc),GOOD_resid<=0.02,151,0.42613089301929824,0.5425656932014475,0.036333163432445935,0.0,-3.20464251331793
100,k*log(abc),GOOD_resid<=0.01,92,0.43065881971019204,0.543105244583112,0.044572977414899524,0.005,-2.522748790678935
100,k*log(abc),MEAS_ANNIHIL_FLAG,259,0.5045330192922275,0.5416685362527601,0.026690963449823055,0.09375,-1.3913142187224983
100,k*log(abc),ENTANGLED_top3000_ready,165,0.5559392385266054,0.5402034598491232,0.034477456084780936,0.68375,0.4564077650720845
100,k*log(abc),ALL,22051,0.541169463327251,0.5411694633272511,1.3993875687074477e-16,0.98625,-0.00011100676831335365
100,log(e),GOOD_resid<=0.01,92,0.38918295189999474,0.4568044241286634,0.05163847098994509,0.08875,-1.3095173216985108
100,log(e),MEAS_ANNIHIL_FLAG,259,0.4718758617817864,0.45850007274085414,0.03054629846620318,0.65125,0.4378857574279759
100,log(e),GOOD_resid<=0.02,151,0.5131924696702622,0.4586445824689616,0.04214773902405935,0.9075,1.2942067229008092
100,log(e),ALL,22051,0.45816189199613566,0.45816189199613583,1.6467268631127714e-16,0.96,-0.00016650603469775275
100,log(e),ENTANGLED_top3000_ready,165,0.5519960257467647,0.4604957124599721,0.04046490147780441,0.98375,2.2612266419262275
100,log(n),GOOD_resid<=0.02,151,0.5101638140930075,0.5231448422280927,0.02835245798029894,0.31625,-0.45784489456425104
100,log(n),GOOD_resid<=0.01,92,0.5075036665885877,0.5233456391670304,0.037290213325231455,0.33875,-0.42482922904865167
100,log(n),ENTANGLED_top3000_ready,165,0.5306972649877905,0.5223869537573371,0.028013548444098695,0.6075,0.29665328713140326
100,log(n),MEAS_ANNIHIL_FLAG,259,0.5512272261713381,0.5226391768896074,0.02179299630720043,0.905,1.311799849705542
100,log(n),ALL,22051,0.5225184739136113,0.5225184739136113,6.977643512971219e-17,0.99625,0.0
