n,Omega_2e6,Omega_1e9
10,6.239695839739665,4.3685011833354865
11,5.424025843281036,3.797438837307826
12,4.770750050174907,3.3400710186630596
13,4.238190814641653,2.9672186056005128
14,3.7974136943565564,2.6586241771206485
15,3.4277910203462554,2.3998460042299326
16,3.114273786555119,2.1803480604215393
17,2.8456586512036406,1.9922867242949827
18,2.6134550414559805,1.8297176231703762
19,2.4111254807820437,1.6880637753019325
20,2.233564505865712,1.563750772078916
21,2.0767339082184084,1.4539514054107425
22,1.937402693473105,1.3564036094726917
23,1.8129586052494548,1.2692785058415499
24,1.701269451913995,1.191083316357434
25,1.6005796693133136,1.120588945199236
26,1.509432192654923,1.0567752802599468
27,1.4266087610065117,0.9987893994643395
28,1.3510838185930396,0.9459132964012196
29,1.2819885646003923,0.897538711071698
30,1.2185826608069041,0.8531473219933698
31,1.160231776474782,0.8122950250544565
32,1.1063896249233676,0.7745993570592845
33,1.0565834869431139,0.7397293604613114
34,1.010402463383988,0.7073973588305874
35,0.9674878804388028,0.6773522394540293
36,0.9275254052644542,0.6493739333679683
37,0.8902385297847745,0.6232688532744075
38,0.8553831560277184,0.5988661026573752
39,0.8227430737175313,0.576014309579883
40,0.7921261647648397,0.5545789693926138
41,0.7633612031713749,0.5344402043009978
42,0.7362951451710494,0.5154908661538388
43,0.7107908249905891,0.4976349232120499
44,0.6867249877851088,0.48078608297843906
45,0.663986604099306,0.4648666121276434
46,0.6424754203855212,0.4498063217028883
47,0.6221007082537029,0.43554169144782096
48,0.6027801816761708,0.4220151117259262
49,0.5844390566605898,0.40917422518399305
50,0.5670092321991891,0.39697135332283257
