m,nu2_old,nu3_old,core_old,omega_E_old,omega_A_old,omega_B_old,omega_C_old,balance_old,profile_old,channel_count_old,is_fullshell_1111_old,nu2_new,nu3_new,sigma5,eps5,core_new,omega_E_new,omega_A_new,omega_B_new,omega_C_new,balance_new,profile_new,channel_count_new,is_fullshell_1111_new,has_25_shell,energy_old,energy_new,delta_energy
25,0,0,25,0,2,0,0,4,"(0,2,0,0)",1,False,0,0,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,14.80471895621705,5.8,-9.00471895621705
50,1,0,25,0,2,0,0,4,"(0,2,0,0)",1,False,1,0,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,15.80471895621705,6.8,-9.00471895621705
75,0,1,25,0,2,0,0,4,"(0,2,0,0)",1,False,0,1,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,16.00471895621705,7.0,-9.00471895621705
100,2,0,25,0,2,0,0,4,"(0,2,0,0)",1,False,2,0,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,16.80471895621705,7.8,-9.00471895621705
150,1,1,25,0,2,0,0,4,"(0,2,0,0)",1,False,1,1,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,17.00471895621705,8.0,-9.00471895621705
225,0,2,25,0,2,0,0,4,"(0,2,0,0)",1,False,0,2,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,17.20471895621705,8.2,-9.00471895621705
200,3,0,25,0,2,0,0,4,"(0,2,0,0)",1,False,3,0,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,17.80471895621705,8.8,-9.00471895621705
300,2,1,25,0,2,0,0,4,"(0,2,0,0)",1,False,2,1,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,18.00471895621705,9.0,-9.00471895621705
450,1,2,25,0,2,0,0,4,"(0,2,0,0)",1,False,1,2,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,18.20471895621705,9.2,-9.00471895621705
675,0,3,25,0,2,0,0,4,"(0,2,0,0)",1,False,0,3,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,18.404718956217053,9.399999999999999,-9.004718956217054
400,4,0,25,0,2,0,0,4,"(0,2,0,0)",1,False,4,0,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,18.80471895621705,9.8,-9.00471895621705
600,3,1,25,0,2,0,0,4,"(0,2,0,0)",1,False,3,1,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,19.00471895621705,10.0,-9.00471895621705
900,2,2,25,0,2,0,0,4,"(0,2,0,0)",1,False,2,2,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,19.20471895621705,10.2,-9.00471895621705
1350,1,3,25,0,2,0,0,4,"(0,2,0,0)",1,False,1,3,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,19.404718956217053,10.399999999999999,-9.004718956217054
2025,0,4,25,0,2,0,0,4,"(0,2,0,0)",1,False,0,4,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,19.604718956217052,10.6,-9.004718956217053
800,5,0,25,0,2,0,0,4,"(0,2,0,0)",1,False,5,0,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,19.80471895621705,10.8,-9.00471895621705
1200,4,1,25,0,2,0,0,4,"(0,2,0,0)",1,False,4,1,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,20.00471895621705,11.0,-9.00471895621705
1800,3,2,25,0,2,0,0,4,"(0,2,0,0)",1,False,3,2,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,20.20471895621705,11.2,-9.00471895621705
2700,2,3,25,0,2,0,0,4,"(0,2,0,0)",1,False,2,3,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,20.404718956217053,11.399999999999999,-9.004718956217054
625,0,0,625,0,4,0,0,16,"(0,4,0,0)",1,False,0,0,2,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,41.6094379124341,11.6,-30.0094379124341
4050,1,4,25,0,2,0,0,4,"(0,2,0,0)",1,False,1,4,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,20.604718956217052,11.6,-9.004718956217053
325,0,0,325,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,13,1,0,0,0,1,"(1,0,0,0)",1,False,True,20.645956295582433,11.641237339365384,-9.004718956217049
125,0,0,125,0,3,0,0,9,"(0,3,0,0)",1,False,0,0,1,1,5,0,1,0,0,1,"(0,1,0,0)",1,False,True,26.707078434325574,11.702359478108527,-15.004718956217047
1600,6,0,25,0,2,0,0,4,"(0,2,0,0)",1,False,6,0,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,20.80471895621705,11.8,-9.00471895621705
