m,nu2_old,nu3_old,core_old,omega_E_old,omega_A_old,omega_B_old,omega_C_old,balance_old,profile_old,channel_count_old,is_fullshell_1111_old,nu2_new,nu3_new,sigma5,eps5,core_new,omega_E_new,omega_A_new,omega_B_new,omega_C_new,balance_new,profile_new,channel_count_new,is_fullshell_1111_new,has_25_shell,energy_old,energy_new,delta_energy
5005,0,0,5005,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,5005,1,1,1,1,0,"(1,1,1,1)",4,True,False,18.72954817293733,18.72954817293733,0.0
10465,0,0,10465,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,10465,1,1,1,1,0,"(1,1,1,1)",4,True,False,18.913947908720026,18.913947908720026,0.0
13585,0,0,13585,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,13585,1,1,1,1,0,"(1,1,1,1)",4,True,False,18.979180380465113,18.979180380465113,0.0
14245,0,0,14245,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,14245,1,1,1,1,0,"(1,1,1,1)",4,True,False,18.991040311733002,18.991040311733002,0.0
17017,0,0,17017,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,0,17017,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.03549203084286,19.03549203084286,0.0
21385,0,0,21385,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,21385,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.092611255165252,19.092611255165252,0.0
22165,0,0,22165,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,22165,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.101567436794788,19.101567436794788,0.0
23485,0,0,23485,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,23485,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.116029299615274,19.116029299615274,0.0
26845,0,0,26845,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,26845,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.149458715714168,19.149458715714168,0.0
28105,0,0,28105,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,28105,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.160925693859046,19.160925693859046,0.0
28405,0,0,28405,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,28405,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.163580116247807,19.163580116247807,0.0
29029,0,0,29029,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,0,29029,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.169012652325424,19.169012652325424,0.0
29785,0,0,29785,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,29785,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.1754400475157,19.1754400475157,0.0
30745,0,0,30745,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,30745,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.183370664596893,19.183370664596893,0.0
32305,0,0,32305,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,32305,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.195744323998067,19.195744323998067,0.0
35581,0,0,35581,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,0,35581,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.219891766625555,19.219891766625555,0.0
37345,0,0,37345,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,37345,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.231988578197793,19.231988578197793,0.0
37765,0,0,37765,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,37765,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.23478450668689,19.23478450668689,0.0
38665,0,0,38665,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,38665,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.240672519260784,19.240672519260784,0.0
41041,0,0,41041,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,0,41041,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.255581711504885,19.255581711504885,0.0
41965,0,0,41965,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,41965,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.261147804129234,19.261147804129234,0.0
46189,0,0,46189,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,0,46189,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.285124238370642,19.285124238370642,0.0
46345,0,0,46345,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,46345,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.285967172577486,19.285967172577486,0.0
47905,0,0,47905,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,47905,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.294243790521243,19.294243790521243,0.0
48433,0,0,48433,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,0,48433,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.296984169638534,19.296984169638534,0.0
48685,0,0,48685,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,48685,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.298281563353214,19.298281563353214,0.0
49105,0,0,49105,1,1,1,1,0,"(1,1,1,1)",4,True,0,0,0,1,49105,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.30042903539797,19.30042903539797,0.0
10010,1,0,5005,1,1,1,1,0,"(1,1,1,1)",4,True,1,0,0,1,5005,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.72954817293733,19.72954817293733,0.0
20930,1,0,10465,1,1,1,1,0,"(1,1,1,1)",4,True,1,0,0,1,10465,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.913947908720026,19.913947908720026,0.0
15015,0,1,5005,1,1,1,1,0,"(1,1,1,1)",4,True,0,1,0,1,5005,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.929548172937327,19.929548172937327,0.0
27170,1,0,13585,1,1,1,1,0,"(1,1,1,1)",4,True,1,0,0,1,13585,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.979180380465113,19.979180380465113,0.0
28490,1,0,14245,1,1,1,1,0,"(1,1,1,1)",4,True,1,0,0,1,14245,1,1,1,1,0,"(1,1,1,1)",4,True,False,19.991040311733002,19.991040311733002,0.0
34034,1,0,17017,1,1,1,1,0,"(1,1,1,1)",4,True,1,0,0,0,17017,1,1,1,1,0,"(1,1,1,1)",4,True,False,20.03549203084286,20.03549203084286,0.0
42770,1,0,21385,1,1,1,1,0,"(1,1,1,1)",4,True,1,0,0,1,21385,1,1,1,1,0,"(1,1,1,1)",4,True,False,20.092611255165252,20.092611255165252,0.0
44330,1,0,22165,1,1,1,1,0,"(1,1,1,1)",4,True,1,0,0,1,22165,1,1,1,1,0,"(1,1,1,1)",4,True,False,20.101567436794788,20.101567436794788,0.0
31395,0,1,10465,1,1,1,1,0,"(1,1,1,1)",4,True,0,1,0,1,10465,1,1,1,1,0,"(1,1,1,1)",4,True,False,20.11394790872002,20.11394790872002,0.0
46970,1,0,23485,1,1,1,1,0,"(1,1,1,1)",4,True,1,0,0,1,23485,1,1,1,1,0,"(1,1,1,1)",4,True,False,20.116029299615274,20.116029299615274,0.0
40755,0,1,13585,1,1,1,1,0,"(1,1,1,1)",4,True,0,1,0,1,13585,1,1,1,1,0,"(1,1,1,1)",4,True,False,20.17918038046511,20.17918038046511,0.0
42735,0,1,14245,1,1,1,1,0,"(1,1,1,1)",4,True,0,1,0,1,14245,1,1,1,1,0,"(1,1,1,1)",4,True,False,20.191040311732998,20.191040311732998,0.0
20020,2,0,5005,1,1,1,1,0,"(1,1,1,1)",4,True,2,0,0,1,5005,1,1,1,1,0,"(1,1,1,1)",4,True,False,20.72954817293733,20.72954817293733,0.0
