observable,index,gamma,value,local_z
S_A,44009,36114.059468935,1.2379732300335764,1.7185377133734243
S_A,44010,36114.228641587,1.237943396659586,1.718498005489978
S_A,44008,36113.283842131,1.2380224993291231,1.7183227513408248
S_A,44007,36112.487766722,1.2379224002570226,1.7170916841809352
S_A,44011,36115.522416586,1.237492479026228,1.7159432360988887
S_A,44006,36111.488595027,1.2375789443095953,1.7142436235702259
S_A,44012,36116.179156915,1.2371154082524447,1.7135280148269376
S_A,46313,37782.030598785,1.2376094200799865,1.712620038429323
S_B,100000,74920.827498994,1.2387917062586704,1.6201307106331655
S_B,99999,74920.259793259,1.2387917061052724,1.6103044301056841
S_B,99998,74919.075161121,1.2387917057851707,1.5886859802678126
S_B,99997,74918.691433454,1.2387917056814832,1.5825558303898795
S_B,99996,74918.370580227,1.2387917055947817,1.5776914234112327
S_B,99995,74917.719415828,1.2387917054188238,1.5665348918926534
S_B,99994,74916.600137467,1.2387917051163653,1.5466067921134592
S_B,99993,74916.276453493,1.2387917050288948,1.541762117377119
S_C_can,6655,6956.546043636,1.2376323583453996,1.7085482320890837
S_C_can,6656,6957.755993704,1.2375887237654932,1.7082901503951926
S_C_can,6654,6955.788441535,1.2375378391266085,1.7077995355181426
S_C_can,6657,6958.03289166,1.237544624723594,1.7077702062287348
S_C_can,6653,6955.261558552,1.2374177619495481,1.7065840872084548
S_C_can,6658,6958.980843289,1.2372963049357062,1.7059237760957315
S_C_can,6659,6959.816566485,1.236951478985702,1.7032098588936178
S_C_can,6652,6953.807636483,1.2368605455056996,1.7027123329275178
S_C_pt,3457,3982.764068117,1.2307568787325507,1.1225560795643261
S_C_pt,3456,3982.048502087,1.2307561609117443,1.1225530360317517
S_C_pt,3458,3983.749795369,1.2307576800845257,1.122532542041477
S_C_pt,3459,3984.227435181,1.230757990197818,1.122069396213152
S_C_pt,3455,3980.844099782,1.2307546944017496,1.1219745384579547
S_C_pt,3460,3985.098725244,1.2307584243397542,1.1215139690561489
S_C_pt,3454,3979.497341176,1.2307526710947678,1.1208833612204445
S_C_pt,3461,3986.516179038,1.2307587672276126,1.1207508596842313
S_mix_can,29189,25141.177644157,1.8921723137762378,2.3937639350353628
S_mix_can,29188,25140.595034585,1.8919175883434338,2.3936397254786934
S_mix_can,29187,25139.614386152,1.8869690664671943,2.3801898990129775
S_mix_can,29190,25142.54663043,1.8848486055036513,2.373225235922127
S_mix_can,29186,25139.328779921,1.8844684832663094,2.3724721016209025
S_mix_can,29191,25142.70438948,1.8832897407001885,2.367245918536044
S_mix_can,14159,13353.546620004,1.9278537959356172,2.3547078434790736
S_mix_can,14160,13353.993230136,1.9269363696383712,2.35132758792725
S_mix_pt,487,794.48379187,2.045910102767805,2.4069602552956866
S_mix_pt,488,795.606596156,2.015996219911648,2.343993593971289
S_mix_pt,221,428.127914077,2.0510192464333445,2.2025315434219057
S_mix_pt,195,388.846128354,2.0121984743715986,2.180512992452985
S_mix_pt,499,810.081804886,1.9151809382898919,2.1678391463209388
S_mix_pt,187,376.324092231,1.9867826911266915,2.1493433984178965
S_mix_pt,486,792.888652563,1.9256303600402436,2.1457277667642214
S_mix_pt,438,730.416482123,2.0253651636394756,2.118545954711883
