n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_units,min_resid_E8_rel_over_units,best_unit_abs_idx,best_unit_rel_idx,pol_E8_axial_mean_deg,pol_E8_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,H_balance_alpha_min,H_balance_alpha_max,H_balance_alpha_range,H_balance_alpha_absmax,improve_abs,improve_rel,stability_score
2478889,37,17,7,563,1,0.00016288319549046795,0.034594551610941535,0.00016288319549046795,0.034594551610941535,0,0,44.27007198536327,0.4856803812376125,4,4,-0.004679775915907923,0.0016839211925036982,0.0063636971084116215,0.004679775915907923,0.0,0.0,1.8530667115684394
7728301,37,53,7,563,1,0.00016291558840817138,0.03979819077587399,0.00016291558840817138,0.03979819077587399,0,0,44.26233551565371,0.4856078539370139,4,4,-0.008142057875847318,0.003144172173785163,0.01128623004963248,0.008142057875847318,0.0,0.0,1.8533434732570484
6728413,37,17,19,563,1,0.00016583464223976136,0.031027154171494882,0.00016583464223976136,0.031027154171494882,0,0,44.271414514467075,0.4855490028931352,4,4,-0.0033209837307139035,0.006915371821336148,0.010236355552050052,0.006915371821336148,0.0,0.0,1.8535681075839292
555373,13,17,7,359,1,0.42263826938340976,0.5645383299294434,0.0004985170510701273,0.09539810197833998,8,9,44.89854262812042,0.5813486819843179,4,4,-0.0006368947827606085,0.0066255469716696375,0.007262441754430246,0.0066255469716696375,0.42213975233233964,0.46914022795110344,1.5481216002871707
947401,13,29,7,359,1,0.4226382582329181,0.5249551750652309,0.0004985218347496498,0.10181839499756325,8,8,44.89535728272961,0.5813138273087834,4,4,-0.00037307770389850603,0.008704874154359594,0.0090779518582581,0.008704874154359594,0.4221397363981685,0.4231367800676677,1.5482144230976875
1731457,13,53,7,359,1,0.4226381198397261,0.48207019455922595,0.0004985812069062143,0.05893349351259362,8,8,44.88146793421034,0.5811760911399635,4,4,-0.0009831075437457886,0.01172612544628642,0.012709232990032208,0.01172612544628642,0.4221395386328199,0.4231367010466323,1.5485813424522183
3299569,13,101,7,359,1,0.42263646041186825,0.4381564271160723,0.0004992931198994166,0.015020673584304456,8,8,44.83268369991674,0.5806947746136546,4,4,-0.0024866716514888067,0.015670039395394818,0.018156711046883624,0.015670039395394818,0.4221371672919688,0.4231357535317678,1.5498649023213285
4475653,13,137,7,359,1,0.4226347887246902,0.4180468503104613,0.0005000102936411776,0.005087948707870051,8,8,44.80896919721685,0.5804061993083327,4,4,-0.0010700622796398817,0.01890094629083829,0.01997100857047817,0.01890094629083829,0.422134778431049,0.41295890160259124,1.5506354867281518
5651737,13,173,7,359,1,0.42262742132128056,0.40291940883202015,0.0005031710139072005,0.020211183503167637,8,8,44.73419279448962,0.5797092151983732,4,4,-0.0028585254408270574,0.020745418353895775,0.02360394379472283,0.020745418353895775,0.4221242503073734,0.3827082253288525,1.5524998118103297
6435793,13,197,7,359,1,0.4226203534554796,0.39459122199032587,0.0005062032532949314,0.028535334718448484,11,11,44.68667778674374,0.5792367454862986,4,4,-0.0037579137015358766,0.021662521772454216,0.025420435473990092,0.021662521772454216,0.4221141502021847,0.3660558872718774,1.5537661469979063
8395933,13,257,7,359,1,0.4225942046065129,0.37774829829816664,0.0005174217845793487,0.045363328092925696,8,8,44.56599357891888,0.578022842802266,4,4,-0.004405225596076167,0.0246474623010164,0.029052687897092568,0.0246474623010164,0.42207678282193356,0.33238497020524094,1.5570291973368953
9179989,13,281,7,359,1,0.42259419077796345,0.3721641344769892,0.0005174277174725676,0.05094748401844694,8,8,44.57202313596499,0.5779642688090907,4,4,-0.0020652725416930714,0.026983568944251888,0.02904884148594496,0.026983568944251888,0.4220767630604909,0.32121665045854225,1.557186994738401
9572017,13,293,7,359,1,0.42257207026898097,0.3695370925982615,0.0005269182486132604,0.053561895919332636,8,8,44.49142703026733,0.5772655438300238,4,4,-0.0041474879401791585,0.026720739075919268,0.030868227016098426,0.026720739075919268,0.4220451520203677,0.31597519667892887,1.559071818069895
1507441,13,17,19,359,1,0.4226246440112557,0.4917488415586603,0.0005354620018193446,0.0685887355455852,8,8,44.89904932942289,0.5814517732875657,4,4,-0.0019312155930102702,0.0013956569407223244,0.0033268725337325944,0.0019312155930102702,0.42208918200943635,0.4231601060130751,1.5478471190555183
2571517,13,29,19,359,1,0.422624632861068,0.4548935059521273,0.0005354667851455209,0.03173340630591386,8,8,44.89587984917732,0.5814170860459269,4,4,-0.0030150294290119365,0.001648540816109174,0.004663570245121111,0.0030150294290119365,0.42208916607592245,0.42316009964621343,1.5479394631850305
4699669,13,53,19,359,1,0.42262449447164707,0.4148524379443172,0.0005355261529151431,0.00830758268024494,8,8,44.88205966821573,0.5812800116737897,4,4,-0.0035866982910727663,0.002403634141176291,0.005990332432249057,0.0035866982910727663,0.42208896831873194,0.40654485526407225,1.5483044894387032
8955973,13,101,19,359,1,0.42262283508900944,0.3737349163456857,0.0005362380133069883,0.04942415675663064,11,11,44.83351802219447,0.5808010077128651,4,4,-0.004289412163640129,0.004285199209433157,0.008574611373073287,0.004289412163640129,0.42208659707570245,0.32431075958905503,1.5495814202573122
4195633,13,29,31,359,1,0.42253744773426677,0.42217727620942197,0.0005440409420607206,0.0009042124669055573,8,8,44.896810572922604,0.5796170650092136,4,4,-0.003032234448260503,0.002080969365557693,0.005113203813818195,0.003032234448260503,0.42199340679220604,0.4212730637425164,1.5527466349512307
7667881,13,53,31,359,1,0.4225373093689751,0.3833970205797375,0.0005441003088123193,0.0396843890980499,8,8,44.8831132596705,0.579481262387666,4,4,-0.004471957410049629,0.0025738366094765295,0.007045794019526159,0.004471957410049629,0.4219932090601628,0.3437126314816876,1.553110523679691
2459509,13,17,31,359,1,0.4223390671610408,0.45762972624081016,0.0006025703021168405,0.03468808877765259,8,8,44.90028747742509,0.5806442421732783,4,4,-3.4105317008145516e-05,0.0024096573386110723,0.0024437626556192177,0.0024096573386110723,0.42173649685892395,0.4229416374631576,1.5499997840874733
4441885,709,5,7,179,1,0.006010163188739317,0.0019168845446088834,0.0007518692898053882,0.0019168845446088834,8,0,18.101799009145477,0.00791968857704406,0,0,0.0005270259900545679,0.03706600966372131,0.036538983673666744,0.03706600966372131,0.005258293898933929,0.0,12.625164974901619
8701693,13,8693,7,11,1,0.0008873906916027971,0.047974376934238075,0.0008868364688316985,0.04797382271146711,8,8,25.400141549189655,6.247883159726797e-06,0,0,-0.31190637204039984,0.14788907906874996,0.45979545110914977,0.31190637204039984,5.542227710986008e-07,5.542227709681713e-07,13797.131906824146
9526165,457,5,379,11,1,0.07595090940679948,0.02321469584127759,0.0009176975352935955,0.02321469584127759,9,0,14.036280365760252,0.08603961657456882,8,0,-0.010890025211764898,0.00034152533974234815,0.011231550551507246,0.010890025211764898,0.07503321187150588,0.0,10.460176086953037
3411577,13,17,43,359,1,0.4223010420549884,0.435599338232171,0.0009319110505666586,0.012366385126616003,8,8,44.90087423256687,0.5823059518607343,4,4,-0.0015728835654528074,0.0029137500462370126,0.00448663361168982,0.0029137500462370126,0.42136913100442175,0.423232953105555,1.5455766020379673
5819749,13,29,43,359,1,0.42227635225375615,0.400685934946549,0.0011243105657007418,0.022714727872907917,11,11,44.8979614353732,0.5816639705607471,4,4,-0.0011863274291426264,0.0020615838234195097,0.003247911252562136,0.0020615838234195097,0.4211520416880554,0.3779712070736411,1.5472824487477141
5930785,709,5,7,239,1,0.0012433698395130314,0.02404636170119578,0.0012433698395130314,0.02404636170119578,0,0,19.620139392842145,0.019373579053261758,0,0,0.0007068065931497399,0.027056200013021853,0.026349393419872115,0.027056200013021853,0.0,0.0,5.161402460672546
6356185,709,5,163,11,1,0.006782759418771539,0.02045212898941657,0.001273119348887951,0.02045212898941657,9,0,17.74081553225322,0.005773051948222752,0,0,-0.01395925992355768,0.0053205332958709845,0.019279793219428666,0.01395925992355768,0.005509640069883588,0.0,17.318860463453213
7760005,709,5,199,11,1,0.004489828318949342,0.03540353650824617,0.0013862469373402656,0.03540353650824617,9,0,18.592570290459484,0.011046183291564149,0,0,-0.016984549038817652,0.0023657408213387065,0.01935028986015636,0.016984549038817652,0.0031035813816090766,0.0,9.052081183115883
5633005,709,5,7,227,1,0.0015384573489948348,0.017956000281754116,0.0015384573489948348,0.017956000281754116,0,0,19.300287601737736,0.016560426264580763,0,0,-0.005479518239264885,0.025061633138974266,0.03054115137823915,0.025061633138974266,0.0,0.0,6.038127296672863
6932365,241,5,523,11,1,0.376508690996576,0.3437497960821872,0.001632786807954907,0.034391681722343664,9,9,32.84659460530907,0.4294477559141163,8,0,-0.005734222243734912,-4.852700029350001e-05,0.005685695243441412,0.005734222243734912,0.3748759041886211,0.3093581143598435,2.095709878316628
