n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_units,min_resid_E8_rel_over_units,best_unit_abs_idx,best_unit_rel_idx,pol_E8_axial_mean_deg,pol_E8_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,H_balance_alpha_min,H_balance_alpha_max,H_balance_alpha_range,H_balance_alpha_absmax,improve_abs,improve_rel,stability_score
9859465,25609,5,7,11,1,5.966037391875052,6.020911371144668,5.96603739187404,6.020911371143655,9,9,0.00013775305888474098,8.979483823168266e-13,24,0,-0.3127978895583862,0.014931851283952961,0.3277297408423392,0.3127978895583862,1.0125233984581428e-12,1.0125233984581428e-12,2499997.75513106
9831745,25537,5,7,11,1,5.946270000774667,6.0009691335772715,5.946270000773613,6.000969133576218,9,9,0.031991776183779144,9.358069874565444e-13,24,0,-0.3251740114799686,0.010807085996189401,0.335981097476158,0.3251740114799686,1.0533796057643485e-12,1.0533796057643485e-12,2499997.660484721
9697765,25189,5,7,11,1,5.927450004744302,5.981296598510741,5.927450004743205,5.981296598509644,9,9,0.026282854297145115,9.744427487134999e-13,24,0,-0.3223460959994437,0.011054272477902246,0.33340036847734594,0.3223460959994437,1.0969003483296547e-12,1.0969003483296547e-12,2499997.563895502
9891805,25693,5,7,11,1,5.925502193731474,5.980579501853813,5.925502193730377,5.980579501852716,9,9,0.18619550957895417,9.79216707719388e-13,24,0,-0.33472823385928646,0.007397188132042378,0.34212542199132884,0.33472823385928646,1.0969003483296547e-12,1.0969003483296547e-12,2499997.5519606275
9545305,24793,5,7,11,1,5.908712158375876,5.961573270375573,5.908712158374734,5.961573270374431,9,9,0.012632778422743544,1.0144107776000055e-12,24,0,-0.3173661798171039,0.011928646299138188,0.3292948261162421,0.3173661798171039,1.142197447734361e-12,1.142197447734361e-12,2499997.463975629
9369745,24337,5,7,11,1,5.890114528269958,5.941819918084126,5.890114528268768,5.941819918082936,9,9,6.071882975681944e-05,1.0561551633259114e-12,24,0,-0.30347507558708553,0.015376727300470539,0.31885180288755605,0.30347507558708553,1.1901590823981678e-12,1.1901590823981678e-12,2499997.3596148803
9508345,24697,5,7,11,1,5.888662246773378,5.941281935735571,5.8886622467721885,5.941281935734381,9,9,0.06041840485564288,1.0581535647702367e-12,24,0,-0.32300602640773524,0.009690083501922929,0.33269610990965814,0.32300602640773524,1.1892709039784677e-12,1.1901590823981678e-12,2499997.3546188874
9840985,25561,5,7,11,1,5.885299375417059,5.940056848488147,5.885299375415869,5.940056848486957,9,9,0.4556216610790752,1.0719203302755886e-12,24,0,-0.339021564262569,0.004869727275257909,0.34389129153782694,0.339021564262569,1.1901590823981678e-12,1.1892709039784677e-12,2499997.320202047
9263485,24061,5,7,11,1,5.870677494454554,5.9216721379997646,5.8706774944533135,5.921672137998525,9,9,0.001242668018627908,1.1005640843109177e-12,24,0,-0.3072682185350788,0.013715766406137862,0.32098398494121666,0.3072682185350788,1.240785252321075e-12,1.2398970739013748e-12,2499997.248592817
9305065,24169,5,7,11,1,5.870233686142819,5.921507474243772,5.870233686141579,5.921507474242532,9,9,0.013161498048007762,1.1010081735207677e-12,24,0,-0.31380898496093856,0.011809164798257539,0.3256181497591961,0.31380898496093856,1.2398970739013748e-12,1.2398970739013748e-12,2499997.247482597
