n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score,u_a,u_b,u_c,u_d,v_a,v_b,v_c,v_d
2196565,97,5,7,647,1,0.0353922501644507,0.0076116221288882,2.0021824581996566e-05,0.007611622128888214,0,8,0,0,48.46492374465895,29.196685663318597,42.81797159921371,0.5167111964123403,160,96,64,0,0.005956240015223778,-0.00018979617149470496,0.03537222833986871,-1.3877787807814457e-17,496.3816783796977,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.5
5962105,97,5,19,647,1,0.0353939638990255,0.0585346223321654,2.2880894172514594e-05,0.023163539327312747,0,8,0,8,48.51507634513634,48.51507634513634,42.82132111473924,0.516543099093481,160,32,64,0,-0.0030229232434299054,-0.0030229232434299054,0.035371083004852984,0.03537108300485266,372.7840608321915,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.5
9727645,97,5,31,647,1,0.0354049305967655,0.0894427355043281,3.434545712746621e-05,0.05407215036469041,0,8,0,8,48.53721493690053,48.53721493690053,42.82762998549846,0.5161101327568784,160,96,64,0,0.0008357615984516902,0.0008357615984516902,0.03537058513963803,0.03537058513963769,496.250374616004,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.5
2478889,37,17,7,563,1,0.0001628831954904,0.0345945516109415,0.00016288319549057897,0.034594551610941535,0,0,0,0,38.6501497470589,38.6501497470589,44.235058224195036,0.4340592424407208,96,96,0,0,0.00017115487900726042,0.00017115487900726042,-1.7897467362304464e-16,-3.469446951953614e-17,437.5123998761328,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
7728301,37,53,7,563,1,0.0001629155884081,0.0397981907758739,0.0001629155884082824,0.033337149138394306,0,0,0,8,38.64240306563304,45.19002682229303,44.22695405707266,0.43399967373732395,96,96,0,0,0.0004394371809756746,0.007660545807478804,-1.8241701552068612e-16,0.006461041637479591,437.57105587806996,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
6728413,37,17,19,563,1,0.0001658346422397,0.0310271541714948,0.0001658346422398724,0.024567808000576948,0,0,0,8,38.693947462028184,45.27232269961286,44.23663546344795,0.4339871925745178,96,96,0,0,-0.0002761173452228216,-0.0028344659837561226,-1.7241525047950734e-16,0.0064593461709178505,437.4579907621041,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
7315321,13,17,79,419,1,0.1477703312125633,0.111603658993151,0.00023677154393315287,0.03592990067547923,8,9,8,9,19.41606589548543,19.41606589548543,44.93694207763606,0.6333941659357736,96,96,0,0,-0.0008079169516698442,-0.0008079169516698442,0.14753355966863016,0.07567375831767177,297.65936664166935,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
2151565,13,5,79,419,1,0.1464061407097376,0.1019837365712692,0.00023677269506265002,0.01962620842728859,11,9,9,9,70.4581014402594,74.268347664964,44.9380485261799,0.600158974246408,96,96,32,0,4.632096158578939e-05,-0.0007345611470843111,0.14616936801467495,0.08235752814398062,314.142879924837,-0.5,-0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5
6823945,109,5,19,659,1,0.0093199878094456,0.041077647584277,0.0003800236503168026,0.031377636124514885,9,9,9,9,41.283341946236796,41.283341946236796,41.847328170844584,0.48290406770834426,96,96,0,0,-0.0016341201616140225,-0.0016341201616140225,0.008939964159128797,0.009700011459762112,385.03233491311863,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5
2514085,109,5,7,659,1,0.0093182709957342,0.0244820632655805,0.0003827445132853303,0.005862473249656213,9,9,8,9,41.20671749250212,52.42089493432181,41.842087041506204,0.48284085239614893,96,96,0,0,-0.0011770652114334618,0.00019799612402040032,0.00893552648244887,0.018619590015924288,384.981831332217,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5
