n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score
4782205,709,5,19,71,1,0.0089762142080647,7.157963733495662e-05,0.008486372551137645,1.5352695591245602e-06,0,9,0,8,17.54947536407431,15.494217256285436,16.10358997793034,0.0004200638346743002,0,0,0,0,-0.010676584219862726,-0.014126777042401596,0.0004898416569270557,7.004436777583206e-05,1284.695957874906
3854785,109,5,643,11,1,0.0360844533546384,0.0412959361799686,0.00523051314312764,1.9030317797680213e-05,0,8,0,8,55.29978540840774,55.29978540840774,41.776225326224896,0.4974504037149843,96,96,64,0,0.0022785780573610862,0.0022785780573610862,0.030853940211510757,0.04127690586217092,254.7370485001661
8542501,61,29,439,11,1,0.5539730761311334,0.5080422589531586,0.022150634140710418,6.462852574033841e-05,8,8,9,8,2.8523482696981617,4.27954072579051,44.46754599106103,0.5206080571382213,160,160,64,0,0.006225718165277025,0.0038875701362112154,0.5318224419904231,0.5079776304274183,191.78020108988736
2237305,97,5,7,659,1,0.0322832013312946,0.0094629544883082,0.022538761766652215,0.00015123429593354986,9,9,0,8,42.332949871354565,51.704073078877954,42.84817504725283,0.4909165076959845,96,96,0,0,-0.0012597405217106856,0.006088004174110464,0.009744439564642386,0.00931172019237465,120.82248563652469
722449,13,17,7,467,1,0.0211695316317594,0.1010421270931513,0.021169531631759456,0.00016191364997957105,0,0,8,9,45.15684383398715,23.809674607648788,44.94099305721597,0.6132264779880474,160,160,0,0,-2.0826685988566316e-05,-0.0018901177593522343,-5.551115123125783e-17,0.10088021344317173,167.93961342485008
3763513,13,41,307,23,1,0.5640840865425079,0.5708769496076271,0.006628044620606589,0.00016481844451284212,9,0,9,0,0.7267338334420411,0.7267338334420411,44.88574366904629,0.6207441021134921,96,96,0,0,-0.0036430339446793594,-0.0036430339446793594,0.5574560419219012,0.5707121311631143,186.9833025978575
894565,61,5,7,419,1,0.3258315466823334,0.4323271469875368,0.04748927861540672,0.00021115516031500317,9,0,8,8,1.3023408962413499,0.7443960248235525,44.51333412287921,0.5834946744669827,96,96,32,0,-0.01368133605437656,-0.01080582246282069,0.27834226806692663,0.4321159918272218,57.535091620691205
5052565,241,5,7,599,1,0.2325610443142457,0.2200871808027723,0.012262463158342469,0.00021140035313102652,0,8,0,8,60.009974778893444,60.009974778893444,34.76356168645343,0.4553402571332579,128,0,64,0,0.005751053644003808,0.005751053644003808,0.22029858115590323,0.21987578044964126,127.25635930722206
6923137,13,41,31,419,1,0.1455078187117194,0.1781821456391666,0.0014416353214404022,0.00021155660447973057,8,9,8,0,70.9487236892009,68.5544947802454,44.93307787932755,0.6008131101015721,96,96,32,0,-0.0007881980816560818,0.0016338954658360102,0.144066183390279,0.17797058903468688,280.75602444094636
9462037,13,53,31,443,1,0.0525331953991792,0.0002174014760933,0.009701622464775931,0.00021740147609332228,9,9,0,0,28.68202551644001,53.05779663436575,44.92759017838461,0.6300352224193553,96,96,32,0,-1.5060271474240692e-05,0.00034600068134683465,0.04283157293440327,-2.2280354644577116e-17,155.48546526311492
6501745,73,5,379,47,1,0.837730264821733,0.809051010749332,0.02892999547730413,0.0002507414049032524,0,9,0,9,87.28003951496103,87.28003951496103,41.440542069808735,0.4787220480663579,160,96,0,0,-0.0015638691782240454,-0.0015638691782240454,0.8088002693444288,0.8088002693444287,137.90005297868817
1653085,73,5,7,647,1,0.0983791186391816,0.0357172107034123,0.06292154025331113,0.0002596323175420987,0,8,0,8,49.30733649992668,49.30733649992668,43.47280852700854,0.5249321179249556,160,160,64,0,0.0051857647618050295,0.0051857647618050295,0.035457578385870464,0.0354575783858702,83.85814010815174
223405,13,5,7,491,1,0.2129638486111804,0.0002668494837568,0.10614214618872407,0.00026684948375658166,8,9,0,0,43.15170024865204,23.211762708108107,44.94684819883528,0.6072171322609352,128,128,0,0,-0.0006878332502846415,7.035690559737876e-05,0.10682170242245632,2.183583175385806e-16,36.44169295633931
9554701,13,101,19,383,1,0.2523936301580065,0.1994713016987104,0.04285073903199228,0.00027947979639108086,8,8,0,8,12.219894442055741,12.73649321931903,44.87633560026558,0.6372253483647922,96,96,32,0,0.006607391630377877,0.0029941813530190912,0.2095428911260142,0.19919182190231932,57.30763939898162
6477445,13,5,439,227,1,0.0281472971147983,0.0002932390292542,0.0007629518428708174,0.000293239029254215,8,9,0,0,31.911766181426774,48.918035077533844,44.946114273575624,0.5376340139157343,160,160,64,0,-6.211286226186025e-05,-6.887644083616793e-06,0.027384345271927485,-1.496198998029996e-17,554.7356677772142
7778641,13,29,439,47,1,0.0826301127260769,0.0425855622073096,0.039750219510200045,0.0002943310085673681,0,8,0,8,30.47336393476127,30.47336393476127,44.925866228660496,0.5356634107349364,160,160,64,0,0.0001617770896103448,0.0001617770896103448,0.04287989321587685,0.04229123119874223,120.45289379439839
4308865,157,5,499,11,1,0.4954281573227881,0.4933232082572267,0.0024159518663331337,0.00031100280077174297,8,0,8,0,80.12022039632095,80.12022039632095,39.677730770939135,0.4844860559140609,160,0,32,0,-5.855003324225661e-05,-5.855003324225661e-05,0.49301220545645497,0.49301220545645497,267.64779961522254
7319689,13,41,31,443,1,0.0358868118065522,0.000317626647218,0.008130374257737053,0.00031762664721812816,0,8,0,0,63.374190682616884,33.094227543955654,44.931190402307664,0.5664634120713317,160,160,64,0,0.0011526969459789943,-0.00027733664146065124,0.027756437548815144,-1.2815269678778662e-16,312.5544111666569
6456241,37,29,547,11,1,0.0279129820084255,0.00031847102317,0.02791298200842553,0.0003178172899549338,0,0,8,9,55.25884310263038,55.122113229643844,44.282847465493404,0.5848734455912381,160,128,64,0,-3.444217135200435e-05,-6.971189766094683e-05,-3.122502256758253e-17,6.537332150662262e-07,130.3308571348461
4243213,13,41,19,419,1,0.1454955960800905,0.1465949613541153,0.001458033862461949,0.000358668588437041,8,9,8,9,71.16961571140035,71.16961571140035,44.93288420086624,0.60499461921243,96,96,32,0,0.0003278545500366794,0.0003278545500366794,0.14403756221762853,0.14623629276567826,278.4165051687531
8175769,61,41,7,467,1,0.393890606723672,0.3507127917986217,0.024290863401808135,0.00038840408258009095,9,8,8,0,6.486166357140624,82.32881775860628,44.53180459507958,0.5260691431529039,96,96,64,0,0.01723514420073087,-0.0016474948744734086,0.36959974332186385,0.3503243877160416,106.98804074415325
7841245,61,5,547,47,1,0.1431028072388759,0.1025531827432139,0.0409556768251421,0.00040605232948000416,8,9,8,9,20.07431293040754,20.07431293040754,44.66397063417348,0.5806874327623994,160,160,32,0,0.0010425605013663687,0.0010425605013663687,0.1021471304137338,0.1021471304137339,108.48489746326352
4478665,37,5,43,563,1,0.0050531342295419,0.0004212669822594,0.005053134229541929,0.00042126698225943454,0,0,0,0,41.45563516154381,41.45563516154381,44.351015437558395,0.5792084916251561,96,96,32,0,0.00023043883577264545,0.00023043883577264545,-2.862293735361732e-17,-3.4531839193663316e-17,221.35773616800125
4261033,61,17,7,587,1,0.0626471107760755,0.0612731681583052,0.0017995274264149448,0.00042558480864445707,10,9,10,9,61.43626691152046,61.43626691152046,44.68415256691284,0.5558865928727501,160,128,64,0,0.0015896626067303102,0.0015896626067303102,0.060847583349660554,0.06084758334966074,440.6017804420023
9474673,13,89,19,431,1,0.0144725087255536,0.0668713825369078,0.014472508725553638,0.000472135577522776,0,0,9,9,68.67135162482285,61.58345060768916,44.91437712795268,0.5781142818129704,96,96,64,0,0.0004365099509382318,0.0018568396422397914,-3.8163916471489756e-17,0.06639924695938502,136.4157036108141
