n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score
5806801,13,5801,7,11,1,0.0294571461389266,0.0509045635536336,0.029455546231352693,0.05090296364605992,9,9,9,9,0.08796565100218091,0.08796565100218091,0.11252834396061338,3.196427944218705e-06,576,0,0,0,-0.030054331024712614,-0.030054331024712614,1.5999075739063506e-06,1.5999075736738977e-06,34848812.40396616
5902897,13,5897,7,11,1,0.0294585497546812,0.0519592751616884,0.029456949851598545,0.05195767525860646,9,9,9,9,0.17778743588611537,0.17778743588611537,0.20233064750944652,3.206026305879739e-06,576,0,0,0,-0.026761591517765554,-0.026761591517765554,1.5999030826552296e-06,1.5999030819405236e-06,34768048.813363776
6743737,13,6737,7,11,1,0.0309029158407163,0.0619089226502363,0.030901320552663546,0.06190732736218359,9,9,9,9,3.1515516127726917,3.1515516127726917,3.175382607358088,3.5132369480272985e-06,576,0,0,0,-0.016772497898763075,-0.016772497898763075,1.5952880527553281e-06,1.5952880527136948e-06,31257219.91308835
7008001,13,7001,7,11,1,0.0326615017839522,0.0661090669633693,0.032659912096955054,0.06610747727637228,9,9,9,9,4.650343885180618,4.650343885180618,4.673767967147681,3.658677939721855e-06,576,0,0,0,-0.014964590074548402,-0.014964590074548402,1.5896869971429584e-06,1.5896869970111194e-06,29033083.87584334
9043573,457,257,7,11,1,0.1317077855870817,0.0822119957690094,0.13170778558708174,0.08221199576900945,0,0,0,0,0.19773260866842243,0.19773260866842243,0.2207729662281793,6.059676044278817e-07,576,0,0,0,0.05023963150051596,0.05023963150051596,-2.7755575615628914e-17,-5.551115123125783e-17,25353931.998358484
9888109,457,281,7,11,1,0.1317077842315609,0.0766536779310577,0.1317077842315609,0.07665367793105775,0,0,0,0,0.2584083069385965,0.2584083069385965,0.2237453314967205,6.060269512886407e-07,576,0,0,0,-0.0054032163961765835,-0.0054032163961765835,0.0,-4.163336342344337e-17,25352995.347337566
6932233,457,197,7,11,1,0.1317103487245745,0.0989526626511158,0.13171034872457454,0.09895266265111566,0,0,0,0,0.19794252201668894,0.19794252201668894,0.22100749789014806,6.072604138429583e-07,576,0,0,0,0.04052673768551865,0.04052673768551865,-5.551115123125783e-17,1.3877787807814457e-16,25333080.20156121
6087697,457,173,7,11,1,0.1317110415034073,0.1072350574251865,0.1317110415034073,0.1072350574251864,0,0,0,0,0.19810658818902532,0.19810658818902532,0.2211812380707633,6.077678632587791e-07,576,0,0,0,0.03722730014023513,0.03722730014023513,0.0,1.1102230246251565e-16,25324960.678578235
4820893,457,137,7,11,1,0.1317117636329474,0.1222833892930979,0.13171176363294745,0.12228338929309793,0,0,0,0,0.25728806476778315,0.25728806476778315,0.2225524303346378,6.085631932828406e-07,576,0,0,0,-0.0016950434869028837,-0.0016950434869028837,-5.551115123125783e-17,-2.7755575615628914e-17,25312310.14417367
3554089,457,101,7,11,1,0.1317119274850922,0.142293384456305,0.1317119274850922,0.14229338445630504,0,0,0,0,0.19819506075183219,0.19819506075183219,0.22128965442409365,6.088175789065176e-07,576,0,0,0,0.02445644021556604,0.02445644021556604,0.0,-5.551115123125783e-17,25308278.50899578
