Periode,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18
Familie,Alkali,Erdalkali,,,,,,,,,,,Bor,C-Gr.,N-Gr.,Chalk.,Halog.,Edelg.
Gruppe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Block,s,s,d,d,d,d,d,d,d,d,d,d,p,p,p,p,p,p
P1,"Z1:Al⟨61⟩, Z2:Al⟨61⟩, Z3:Al⟨57⟩",,,,,,,,,,,,,,,,,
P2,Z4:Al⟨61⟩,"Z5⟨57⟩, Z6⟨59⟩, Z7⟨61⟩, Z8⟨61⟩, Z9⟨61⟩, Z10⟨61⟩, Z11⟨61⟩",,,,,,,,,,,,,,,,
P3,,,,,,,,,,,,,,,,,,
P4,,,,"Z23⟨61⟩, Z24⟨61⟩, Z25⟨61⟩","Z26⟨61⟩, Z27⟨61⟩, Z28⟨61⟩, Z29⟨61⟩, Z30⟨61⟩, Z31⟨61⟩, Z32⟨61⟩","Z33⟨57⟩, Z34⟨57⟩, Z35⟨59⟩, Z36⟨57⟩, Z37⟨59⟩, Z38⟨59⟩, Z39⟨59⟩, Z40⟨59⟩","Z41⟨59⟩, Z42⟨59⟩, Z43⟨59⟩",,,,,,,,,,,
P5,,,,,,,"Z44⟨57⟩, Z45⟨59⟩, Z46⟨61⟩","Z47⟨61⟩, Z48⟨61⟩, Z49⟨57⟩, Z50⟨57⟩, Z51⟨61⟩, Z52⟨57⟩, Z53⟨61⟩","Z54⟨61⟩, Z55⟨61⟩, Z56⟨61⟩, Z57⟨61⟩, Z58⟨61⟩, Z59⟨61⟩, Z60⟨61⟩","Z61⟨61⟩, Z62⟨61⟩, Z63⟨61⟩, Z64⟨61⟩, Z65⟨61⟩",,,,,,,,
P6,,,,,,,,,,"Z66⟨61⟩, Z67⟨61⟩","Z68⟨61⟩, Z69⟨61⟩, Z70⟨61⟩, Z71⟨61⟩, Z72⟨61⟩, Z73⟨61⟩, Z74⟨61⟩, Z75⟨57⟩","Z76⟨57⟩, Z77⟨57⟩, Z78⟨61⟩, Z79⟨57⟩, Z80⟨57⟩","Z81⟨61⟩, Z82⟨57⟩, Z83⟨59⟩, Z84⟨59⟩, Z85⟨59⟩, Z86⟨57⟩, Z87⟨59⟩, Z88⟨59⟩","Z89⟨59⟩, Z90⟨59⟩, Z91⟨59⟩, Z92⟨59⟩, Z93⟨59⟩, Z94⟨59⟩, Z95⟨59⟩","Z96⟨59⟩, Z97⟨59⟩, Z98⟨59⟩, Z99⟨59⟩, Z100⟨57⟩, Z101⟨57⟩, Z102⟨59⟩",Z103⟨57⟩,,
P7,,,,,,,,,,,,,,,,"Z104⟨61⟩, Z105⟨57⟩, Z106⟨61⟩, Z107⟨61⟩, Z108⟨61⟩, Z109⟨57⟩","Z110⟨57⟩, Z111⟨61⟩, Z112⟨57⟩, Z113⟨61⟩, Z114⟨57⟩, Z115⟨61⟩, Z116⟨61⟩","Z117:EG⟨57⟩, Z118:EG⟨61⟩"
