kind,k,q1,q2,q3,q4,midpoint,root4_product,radius_error,sieve_score,is_real_prime_quadruplet,phase_E,phase_A,phase_B,phase_C,width,coherence,gap1,gap2,gap3,gap4
real_quad,1,5,7,11,13,9.0,8.41106560569444,0.5889343943055607,0.8260869565217391,1,0.38477631085023667,0.3210678118654755,0.39949493661166624,0.3063491861040468,0.09314575050761942,0.9687635958291484,0.014718625761428683,0.014718625761429571,0.06370849898476116,0.9068542494923806
real_quad,1,11,13,17,19,15.0,14.660022604449333,0.3399773955506671,0.8260869565217391,1,0.38477631085023667,0.29163056034261725,0.370057685088808,0.3063491861040468,0.09314575050761942,0.9687635958291483,0.014718625761428683,0.014718625761429571,0.06370849898476116,0.9068542494923806
real_quad,1,101,103,107,109,105.0,104.9523623643823,0.04763763561770418,1.0,1,0.14927829866736886,0.08556979968260947,0.1639969244288011,0.07085117392117724,0.09314575050762386,0.9687635958291468,0.014718625761432236,0.014718625761432236,0.06370849898475939,0.9068542494923761
real_quad,1,191,193,197,199,195.0,194.97435607408144,0.025643925918558352,1.0,1,0.9432175380073602,0.8500717874997434,0.928498912245928,0.8647904132611757,0.09314575050761675,0.9687635958291523,0.014718625761432236,0.014718625761432236,0.06370849898475228,0.9068542494923832
real_quad,1,821,823,827,829,825.0,824.9939393556497,0.006060644350327493,1.0,1,0.38304320729588426,0.31933470831108934,0.3977618330573023,0.3046160825496713,0.09314575050763096,0.9687635958291326,0.014718625761418025,0.014718625761418025,0.06370849898479491,0.906854249492369
real_quad,1,1481,1483,1487,1489,1485.0,1484.9966329900676,0.0033670099323899194,1.0,1,0.7639943735387078,0.700285874553856,0.778712999300069,0.6855672487924949,0.09314575050757412,0.9687635958291405,0.014718625761361182,0.014718625761361182,0.06370849898485176,0.9068542494924259
real_quad,1,1871,1873,1877,1879,1875.0,1874.9973333300718,0.0026666699282031914,1.0,1,0.8220023248071584,0.7288565742995843,0.8072836990457972,0.7435752000610591,0.09314575050757412,0.9687635958291759,0.014718625761361182,0.014718625761474868,0.06370849898473807,0.9068542494924259
real_quad,1,2081,2083,2087,2089,2085.0,2084.997601916093,0.0023980839068826754,1.0,1,0.29213179739576844,0.22842329841103037,0.3068504231572433,0.2137046726495555,0.09314575050768781,0.9687635958291245,0.014718625761474868,0.014718625761474868,0.06370849898473807,0.9068542494923122
real_quad,1,3251,3253,3257,3259,3255.0,3254.9984639010663,0.0015360989336841158,1.0,1,0.43671839967851156,0.34357264917093744,0.4219997739171504,0.3582912749322986,0.09314575050757412,0.9687635958291405,0.014718625761361182,0.014718625761361182,0.06370849898485176,0.9068542494924259
real_quad,1,3461,3463,3467,3469,3465.0,3464.9985569980404,0.0014430019596147758,1.0,1,0.9068478722670079,0.8431393732823835,0.9215664980285965,0.828420747520795,0.0931457505078015,0.9687635958291085,0.014718625761588555,0.014718625761588555,0.06370849898462438,0.9068542494921985
real_quad,1,5651,5653,5657,5659,5655.0,5654.999115826583,0.0008841734170346172,1.0,1,0.5492680951069815,0.45612234459940737,0.5345494693456203,0.47084097036076855,0.09314575050757412,0.9687635958291405,0.014718625761361182,0.014718625761361182,0.06370849898485176,0.9068542494924259
real_quad,1,9431,9433,9437,9439,9435.0,9434.999470058268,0.0005299417316564359,1.0,1,0.2765338654066909,0.18338811489866202,0.26181523964487496,0.19810674066047795,0.09314575050802887,0.9687635958290765,0.014718625761815929,0.014718625761815929,0.06370849898439701,0.9068542494919711
real_quad,1,13001,13003,13007,13009,13005.0,13004.999615532477,0.00038446752296295017,1.0,1,0.5042329115949542,0.44052441261010244,0.5189515373558606,0.4258057868482865,0.09314575050757412,0.9687635958291406,0.014718625760906434,0.014718625761815929,0.06370849898485176,0.9068542494924259
real_quad,1,15641,15643,15647,15649,15645.0,15644.999680409072,0.00031959092848410364,1.0,1,0.028037576566021016,0.9643290775811693,0.04275620232692745,0.9496104518193533,0.09314575050757412,0.9687635958291405,0.014718625760906434,0.014718625761815929,0.06370849898485176,0.9068542494924259
real_quad,1,15731,15733,15737,15739,15735.0,15734.999682237047,0.00031776295327290427,1.0,1,0.821976815906055,0.7288310653984809,0.807258190144239,0.7435496911593873,0.09314575050757412,0.9687635958291405,0.014718625760906434,0.014718625761815929,0.06370849898485176,0.9068542494924259
real_quad,1,16061,16063,16067,16069,16065.0,16064.99968876439,0.00031123560984269716,1.0,1,0.9977337732661908,0.9340252742813391,0.012452399027097272,0.9193066485195232,0.09314575050757412,0.9687635958291405,0.014718625760906434,0.014718625761815929,0.06370849898485176,0.9068542494924259
real_quad,1,18041,18043,18047,18049,18045.0,18044.99972291493,0.0002770850696833804,1.0,1,0.14058727199426357,0.07687877300941182,0.1553058977560795,0.06216014724850538,0.09314575050757412,0.9687635958291405,0.014718625760906434,0.014718625761815929,0.06370849898485176,0.9068542494924259
real_quad,1,18911,18913,18917,18919,18915.0,18914.999735659527,0.0002643404732225463,1.0,1,0.021105162348248996,0.9279594118406749,0.006386536587342562,0.9426780376024908,0.09314575050757412,0.9687635958291405,0.014718625760906434,0.014718625761815929,0.06370849898485176,0.9068542494924259
real_quad,1,19421,19423,19427,19429,19425.0,19424.99974259974,0.00025740026103449054,1.0,1,0.7553033468657304,0.6915948478808787,0.7700219726266369,0.6768762221190627,0.09314575050757412,0.9687635958291406,0.014718625760906434,0.014718625761815929,0.06370849898485176,0.9068542494924259
real_quad,1,21011,21013,21017,21019,21015.0,21014.999762074705,0.0002379252946411725,1.0,1,0.8695861458490981,0.7764403953406145,0.8548675200872822,0.7911590211024304,0.09314575050848362,0.9687635958287284,0.014718625761815929,0.014718625761815929,0.06370849898485176,0.9068542494915164
real_quad,1,22271,22273,22277,22279,22275.0,22274.999775533106,0.0002244668939965777,1.0,1,0.7786747359477886,0.685528985441124,0.7639561101859726,0.7002476112011209,0.09314575050666463,0.9687635958295526,0.01471862575999694,0.014718625761815929,0.06370849898485176,0.9068542494933354
real_quad,1,25301,25303,25307,25309,25305.0,25304.999802410588,0.00019758941198233515,1.0,1,0.33105010066537943,0.2673416016805277,0.34576872642719536,0.25262297591871175,0.09314575050848362,0.9687635958287284,0.014718625761815929,0.014718625761815929,0.06370849898485176,0.9068542494915164
real_quad,1,31721,31723,31727,31729,31725.0,31724.999842395588,0.00015760441237944178,1.0,1,0.5821205359352462,0.5184120369503944,0.5968391616970621,0.5036934111903975,0.09314575050666463,0.9687635958295526,0.01471862575999694,0.014718625761815929,0.06370849898485176,0.9068542494933354
real_quad,1,34841,34843,34847,34849,34845.0,34844.99985650739,0.00014349260891322047,1.0,1,0.928435139992871,0.8647266410080192,0.9431537657546869,0.8500080152462033,0.09314575050848362,0.9687635958287285,0.014718625761815929,0.014718625761815929,0.06370849898485176,0.9068542494915164
