operator_name,family,axis,angle_label,angle_value,expected_period,state_name,period_found,orbit_type,max_norm_drift,min_return_distance,matches_expected_period
zyklisch_symmetrisch,triadisch,-,-,,3,q0_ref,3,diskreter Zeitkristall (Periode 3),0.0,0.0,True
zyklisch_symmetrisch,triadisch,-,-,,3,q0_stationaer_test,1,stationär,0.0,0.0,False
zyklisch_symmetrisch,triadisch,-,-,,3,q0_partial_deg,3,diskreter Zeitkristall (Periode 3),0.0,0.0,True
zyklisch_symmetrisch,triadisch,-,-,,3,q0_generic_1,3,diskreter Zeitkristall (Periode 3),0.0,0.0,True
zyklisch_symmetrisch,triadisch,-,-,,3,q0_generic_2,3,diskreter Zeitkristall (Periode 3),0.0,0.0,True
x_rot_pi_2,achsial,x,pi/2,1.5707963267948966,4,q0_ref,4,diskreter Zeitkristall (Periode 4),0.0,0.0,True
x_rot_pi_2,achsial,x,pi/2,1.5707963267948966,4,q0_stationaer_test,4,diskreter Zeitkristall (Periode 4),0.0,0.0,True
x_rot_pi_2,achsial,x,pi/2,1.5707963267948966,4,q0_partial_deg,4,diskreter Zeitkristall (Periode 4),0.0,0.0,True
x_rot_pi_2,achsial,x,pi/2,1.5707963267948966,4,q0_generic_1,4,diskreter Zeitkristall (Periode 4),0.0,0.0,True
x_rot_pi_2,achsial,x,pi/2,1.5707963267948966,4,q0_generic_2,4,diskreter Zeitkristall (Periode 4),0.0,0.0,True
x_rot_pi_3,achsial,x,pi/3,1.0471975511965976,6,q0_ref,6,diskreter Zeitkristall (Periode 6),2.1316282072803006e-12,0.0,True
x_rot_pi_3,achsial,x,pi/3,1.0471975511965976,6,q0_stationaer_test,6,diskreter Zeitkristall (Periode 6),2.000177801164682e-12,9.999778782798785e-13,True
x_rot_pi_3,achsial,x,pi/3,1.0471975511965976,6,q0_partial_deg,6,diskreter Zeitkristall (Periode 6),1.3358203432289883e-12,0.0,True
x_rot_pi_3,achsial,x,pi/3,1.0471975511965976,6,q0_generic_1,6,diskreter Zeitkristall (Periode 6),4.490630090003833e-12,0.0,True
x_rot_pi_3,achsial,x,pi/3,1.0471975511965976,6,q0_generic_2,6,diskreter Zeitkristall (Periode 6),4.988010005035903e-12,9.999778782798785e-13,True
x_rot_pi_4,achsial,x,pi/4,0.7853981633974483,8,q0_ref,8,diskreter Zeitkristall (Periode 8),2.6929569685307797e-12,0.0,True
x_rot_pi_4,achsial,x,pi/4,0.7853981633974483,8,q0_stationaer_test,8,diskreter Zeitkristall (Periode 8),2.7000623958883807e-13,0.0,True
