M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
10080,10,25,5,2,2,3,0.171691736163,0.095782757547,"{24: 1, 54: 1, 72: 1, 84: 1, 102: 1}","{0: 1, 18: 1, 30: 1, 48: 1, 60: 1}"
10290,12,36,2,0,1,5,0.162012632837,0.050000000000,"{30: 1, 60: 1}","{6: 1, 24: 1}"
10500,8,10,2,0,0,2,0.051899190732,0.023692810458,"{72: 1, 102: 1}","{12: 1, 42: 1}"
10710,8,12,0,1,1,1,0.029209858195,0.000000000000,{},{}
10920,9,18,2,0,0,2,0.093899401599,0.033653846154,"{48: 1, 78: 1}","{12: 1, 42: 1}"
11130,9,18,6,0,0,0,0.122218645247,0.081818926401,"{42: 1, 54: 1, 90: 1, 102: 2, 114: 1}","{18: 2, 30: 3, 42: 1}"
11340,8,15,0,0,0,1,0.047184023037,0.000000000000,{},{}
11550,7,8,0,0,0,0,0.025580623334,0.000000000000,{},{}
11760,9,20,3,1,1,3,0.095611380154,0.038259109312,"{60: 1, 78: 1, 114: 1}","{24: 1, 30: 1, 42: 1}"
11970,12,30,1,3,3,4,0.100294016190,0.009803921569,{102: 1},{42: 1}
12180,9,18,2,1,1,3,0.092872019886,0.023931623932,"{78: 1, 90: 1}","{42: 1, 54: 1}"
12390,7,10,0,1,2,3,0.031884515823,0.000000000000,{},{}
12600,4,4,1,1,1,1,0.023960744705,0.013888888889,{72: 1},{48: 1}
12810,6,8,0,1,2,2,0.023612089945,0.000000000000,{},{}
13020,5,4,0,1,1,1,0.015250120250,0.000000000000,{},{}
13230,5,6,1,0,0,0,0.024984737485,0.008333333333,{120: 1},{96: 1}
13440,7,12,0,0,0,0,0.032571035983,0.000000000000,{},{}
13650,10,9,0,1,1,1,0.024271719879,0.000000000000,{},{}
13860,12,36,4,2,2,6,0.189475859246,0.052859477124,"{48: 1, 72: 1, 102: 1, 120: 1}","{12: 2, 42: 1, 84: 1}"
14070,9,18,2,0,0,3,0.081629725614,0.025793650794,"{72: 1, 84: 1}","{48: 1, 60: 1}"
14280,9,20,1,2,2,5,0.070365769035,0.013888888889,{72: 1},{12: 1}
14490,8,16,2,1,1,1,0.079696694718,0.018575851393,"{102: 1, 114: 1}","{18: 1, 30: 1}"
14700,6,5,0,0,0,0,0.016583435398,0.000000000000,{},{}
14910,3,2,0,0,0,0,0.005664488017,0.000000000000,{},{}
15120,6,5,0,0,0,1,0.012769240763,0.000000000000,{},{}
15330,6,6,2,0,0,1,0.038363245506,0.025000000000,"{72: 1, 90: 1}","{12: 1, 30: 1}"
15540,9,20,0,0,0,2,0.058431608297,0.000000000000,{},{}
15750,7,10,0,0,0,0,0.041697600538,0.000000000000,{},{}
15960,9,18,1,1,2,2,0.067390694750,0.011904761905,{84: 1},{60: 1}
16170,9,20,3,1,2,3,0.103245200738,0.040277777778,"{48: 1, 90: 1, 120: 1}","{12: 1, 30: 1, 84: 1}"
16380,7,12,1,0,0,1,0.043063122160,0.011111111111,{90: 1},{54: 1}
16590,6,8,0,0,0,1,0.029761211011,0.000000000000,{},{}
16800,7,12,0,0,1,2,0.047809333969,0.000000000000,{},{}
17010,7,12,1,1,1,2,0.063065425430,0.020833333333,{48: 1},{12: 1}
17220,8,16,2,0,1,1,0.069536305606,0.021708683473,"{84: 1, 102: 1}","{42: 1, 60: 1}"
17430,10,25,2,0,1,4,0.103186086960,0.023692810458,"{72: 1, 102: 1}","{18: 1, 48: 1}"
17640,12,35,4,2,2,2,0.158464573599,0.051195862961,"{60: 1, 78: 1, 84: 1, 102: 1}","{0: 1, 18: 1, 24: 1, 42: 1}"
