M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
10021,10,24,4,0,2,2,0.149195477867,0.071164021164,"{30: 1, 60: 1, 84: 1, 108: 1}","{4: 1, 34: 1, 58: 1, 74: 1}"
10051,11,30,5,0,3,3,0.179918879270,0.090227201992,"{30: 1, 54: 1, 60: 1, 84: 1, 102: 1}","{2: 1, 4: 1, 26: 1, 28: 1, 76: 1}"
10081,10,25,5,0,2,2,0.171691736163,0.095782757547,"{24: 1, 54: 1, 72: 1, 84: 1, 102: 1}","{2: 1, 16: 1, 32: 1, 46: 1, 62: 1}"
10111,10,24,3,0,0,2,0.124472905611,0.044526143791,"{48: 1, 72: 1, 102: 1}","{10: 1, 14: 1, 44: 1}"
10141,11,28,0,0,2,2,0.100953594122,0.000000000000,{},{}
10171,11,30,0,0,3,3,0.107359903412,0.000000000000,{},{}
10201,12,36,0,0,1,3,0.120854884852,0.000000000000,{},{}
10231,12,35,0,0,2,3,0.118058755413,0.000000000000,{},{}
10261,12,35,0,0,2,2,0.118058755413,0.000000000000,{},{}
10291,12,36,2,0,0,2,0.162012632837,0.050000000000,"{30: 1, 60: 1}","{8: 1, 22: 1}"
10321,11,30,2,0,1,2,0.151760555779,0.050000000000,"{30: 1, 60: 1}","{8: 1, 38: 1}"
10351,10,24,1,0,1,1,0.105410299618,0.010416666667,{96: 1},{58: 1}
10381,9,20,1,0,2,3,0.095589102297,0.010416666667,{96: 1},{2: 1}
10411,9,20,1,0,0,2,0.094280559994,0.010416666667,{96: 1},{62: 1}
10441,8,16,3,0,1,1,0.116376229445,0.057026143791,"{30: 1, 72: 1, 102: 1}","{4: 1, 46: 1, 76: 1}"
10471,8,15,4,0,0,0,0.104986454346,0.061391223156,"{42: 1, 72: 2, 102: 1}","{14: 1, 16: 2, 46: 1}"
10501,8,12,3,0,0,1,0.089994428827,0.057026143791,"{30: 1, 72: 1, 102: 1}","{14: 1, 28: 1, 44: 1}"
10531,8,7,0,0,0,0,0.025211401637,0.000000000000,{},{}
10561,9,14,0,0,0,1,0.041208593810,0.000000000000,{},{}
10591,9,18,0,0,0,2,0.050538800804,0.000000000000,{},{}
10621,8,15,0,0,1,1,0.044595025444,0.000000000000,{},{}
10651,8,16,0,0,0,0,0.047041671772,0.000000000000,{},{}
10681,8,16,0,0,2,2,0.047041671772,0.000000000000,{},{}
10711,8,15,0,0,1,1,0.045818045330,0.000000000000,{},{}
10741,7,12,0,0,0,0,0.039377944037,0.000000000000,{},{}
10771,8,15,0,0,0,0,0.045435866602,0.000000000000,{},{}
10801,7,10,0,0,2,2,0.034264380577,0.000000000000,{},{}
10831,7,6,0,0,0,0,0.024710508523,0.000000000000,{},{}
10861,8,12,2,0,0,0,0.083441622370,0.046153846154,"{30: 1, 78: 1}","{28: 1, 76: 1}"
10891,9,18,2,0,1,1,0.093899401599,0.033653846154,"{48: 1, 78: 1}","{16: 1, 46: 1}"
10921,9,18,2,0,0,0,0.093899401599,0.033653846154,"{48: 1, 78: 1}","{14: 1, 44: 1}"
10951,9,20,1,0,0,0,0.086102245776,0.008333333333,{120: 1},{94: 1}
10981,9,20,1,0,1,1,0.086102245776,0.008333333333,{120: 1},{34: 1}
11011,8,15,1,0,1,2,0.073613200000,0.008333333333,{120: 1},{26: 1}
11041,8,15,1,0,0,0,0.073613200000,0.008333333333,{120: 1},{86: 1}
11071,9,20,6,0,0,0,0.126934588106,0.076990884073,"{48: 1, 60: 1, 90: 1, 102: 2, 114: 1}","{34: 1, 46: 1, 76: 1, 88: 2, 100: 1}"
11101,9,20,6,0,0,1,0.126934588106,0.076990884073,"{48: 1, 60: 1, 90: 1, 102: 2, 114: 1}","{14: 1, 16: 1, 26: 1, 28: 2, 40: 1}"
11131,9,18,6,0,0,0,0.122218645247,0.081818926401,"{42: 1, 54: 1, 90: 1, 102: 2, 114: 1}","{16: 1, 20: 1, 28: 1, 32: 2, 44: 1}"
11161,8,12,4,0,0,1,0.149256565353,0.120427703245,"{12: 1, 54: 1, 102: 1, 114: 1}","{10: 1, 32: 1, 80: 1, 92: 1}"
11191,8,12,0,0,0,0,0.039770802495,0.000000000000,{},{}
11221,8,12,0,0,0,0,0.039770802495,0.000000000000,{},{}
11251,8,15,0,0,0,1,0.047184023037,0.000000000000,{},{}
11281,8,15,0,0,1,1,0.047184023037,0.000000000000,{},{}
11311,8,15,0,0,1,1,0.047184023037,0.000000000000,{},{}
11341,8,15,0,0,0,0,0.047184023037,0.000000000000,{},{}
11371,6,8,0,0,0,0,0.028684431048,0.000000000000,{},{}
11401,7,12,0,0,0,0,0.037021998570,0.000000000000,{},{}
11431,7,12,0,0,1,2,0.036656655618,0.000000000000,{},{}
11461,6,8,0,0,0,0,0.027418283477,0.000000000000,{},{}
11491,6,8,1,0,0,0,0.042290485110,0.016666666667,{60: 1},{58: 1}
11521,6,8,1,0,1,2,0.042290485110,0.016666666667,{60: 1},{2: 1}
11551,7,12,0,0,0,0,0.046131735156,0.000000000000,{},{}
11581,7,12,0,0,0,0,0.046131735156,0.000000000000,{},{}
11611,7,12,0,0,0,0,0.046131735156,0.000000000000,{},{}
11641,8,15,0,0,0,1,0.052618740214,0.000000000000,{},{}
11671,8,12,0,0,0,0,0.045345790827,0.000000000000,{},{}
11701,8,15,2,0,0,0,0.117739415721,0.068376068376,"{18: 1, 78: 1}","{16: 1, 76: 1}"
11731,8,16,3,0,1,1,0.085756869265,0.038259109312,"{60: 1, 78: 1, 114: 1}","{16: 1, 34: 1, 88: 1}"
11761,9,20,3,0,1,3,0.095611380154,0.038259109312,"{60: 1, 78: 1, 114: 1}","{26: 1, 28: 1, 44: 1}"
11791,9,20,2,0,0,1,0.093742557468,0.027290448343,"{54: 1, 114: 1}","{28: 1, 32: 1}"
11821,10,24,2,0,1,1,0.103580058150,0.027290448343,"{54: 1, 114: 1}","{32: 1, 92: 1}"
11851,9,20,1,0,0,0,0.083539750068,0.009259259259,{108: 1},{70: 1}
